cut							0.864								0.836
cut							0.741								0.62
cut							0.786								0.899
cut							0.545								0.812
cut							0.941								1
cut							0.313								0.481
cut							0.433								0.643
cut							0.306								0.397
cut							0.36								0.473
cut							0.867								1
cut							0.595								0.695
cut							0								0.137
cut							0.948								0.981
cut							0.744								0.908
cut							0.824								0.986
cut							0.788								0.897
cut							0.939								0.858
cut							0								0.213
cut							0.217								0.24
heavy							0.065								0.307
heavy							0.198								0.618
heavy							0.044								0.448
heavy							0.228								0.458
heavy							0.576								0.724
heavy							0.016								0.349
heavy							0.2								0.566
heavy							0.031								0.413
heavy							0.058								0.406
heavy							0.061								0.425
heavy							0.147								0.341
heavy							0.325								0.633
heavy							0.081								0.529
heavy							0.071								0.379
heavy							0.088								0.649
heavy							0.304								0.688
heavy							0.806								0.926
heavy							0.296								0.7
heavy							0								0.286
light							0.463								0.828
light							0.203								0.404
light							0.434								0.892
light							0.31								0.733
light							1								1
light							0.117								0.439
light							0.078								0.43
light							0.173								0.593
light							0.506								0.847
light							0.63								0.876
light							0.051								0.413
light							0.208								0.81
light							0.432								0.605
light							0.204								0.45
light							0.441								0.895
light							0.254								0.77
light							0.759								0.949
light							0.123								0.6
light							0.797								0.852
non							0								0.193
non							0								0.27
non							0								0.114
non							0.013								0.238
non							0								0.23
non							0								0.183
non							0								0.238
non							0								0.255
non							0								0.311
non							0								0.244
non							0								0.241
non							0.014								0.311
non							0								0.174
non							0								0.269
non							0								0.262
non							0.047								0.282
non							0								0.143
non							0								0.283
non							0								0.205
non							0								0.27
non							0.017								0.316
non							0								0.228
non							0								0.226
non							0								0.276
non							0								0.208
non							0								0.181
non							0								0.198
non							0.01								0.244
non							0.016								0.281
non							0								0.232
non							0								0.143
non							0								0.19
non							0								0.282
non							0.026								0.225
non							0								0.177
non							0								0.179
non							0								0.116
non							0.023								0.248
